Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
-0.0003417,0.00036386,-0.0065425,0.0974279
0.00076559,-0.00061566,-0.003079,0.194856
0.0010152,-0.00063125,-0.0051916,0.292284
0.001089,-0.00037805,-0.0047856,0.389711
0.00097696,0.00012241,-0.0030473,0.487139
0.0014741,0.00012816,-0.0054186,0.584567
0.0027488,-0.0005224,-0.0031663,0.681995
0.0033125,-0.00042497,-0.0041412,0.779423
0.0038205,-0.00015369,-0.0039899,0.876851
0.004328,0.00022468,-0.0039111,0.974279
0.0059432,-0.00042043,-0.0056609,1.07171
0.0072857,-0.0006989,-0.0045692,1.16913
0.0079677,-0.00027857,-0.0035808,1.26656
0.0087964,0.00015753,-0.0048485,1.36399
0.0099566,0.00038453,-0.0016765,1.46142
0.012491,-0.00078607,-0.0073076,1.55885
0.013774,-0.00046006,-0.0019796,1.65627
0.015302,-0.00045409,-0.0076157,1.7537
0.016321,0.00029679,-0.0019663,1.85113
0.01846,-8.9103e-05,-0.0058449,1.94856
0.020764,-0.00056937,-0.0034741,2.04599
0.022533,-0.00019041,-0.0045356,2.14341
0.024568,-0.00028898,-0.0043225,2.24084
0.026462,0.00020177,-0.0040395,2.33827
0.029284,-0.00053208,-0.0055593,2.4357
0.031607,-0.00036376,-0.005148,2.53312
0.034004,-0.00042443,-0.0045988,2.63055
0.035942,0.00012757,-0.0036575,2.72798
0.038694,3.9521e-05,-0.0043561,2.82541
0.041824,-0.00029983,-0.0043719,2.92284
0.045105,-0.00068747,-0.0064832,3.02026
0.047709,-0.00030785,-0.0030903,3.11769
0.049937,9.7322e-05,-0.0070089,3.21512
0.052894,0.00019285,-0.0021962,3.31255
0.056215,-0.0007595,-0.0077339,3.40998
0.058571,-0.00018494,-0.0016744,3.5074
0.06117,-0.00052949,-0.0069927,3.60483
0.062714,0.000683,-0.0025474,3.70226
0.066666,-0.0008927,-0.0075839,3.79969
0.068241,-0.00024355,-0.0037104,3.89711
0.070489,-0.00038539,-0.0068626,3.99454
0.071694,0.00010927,-0.0024738,4.09197
0.073945,7.8043e-05,-0.0066761,4.1894
0.076719,-0.00083013,-0.0029784,4.28683
0.078304,-0.0004074,-0.0079632,4.38425
0.079613,3.5025e-05,-0.0028864,4.48168
0.081376,-0.00036362,-0.0073561,4.57911
0.082241,0.0005606,-0.0036157,4.67654
0.085009,-0.0011909,-0.007234,4.77397
0.085004,3.2049e-05,-0.003951,4.87139
0.086847,-0.00043189,-0.0054177,4.96882
0.087572,-9.1481e-05,-0.0046889,5.06625
0.089089,0.0002748,-0.0064053,5.16368
0.09084,-0.0011457,-0.005829,5.2611
0.090496,0.00021066,-0.0059465,5.35853
0.091196,-8.8042e-05,-0.004895,5.45596
0.091888,-0.0002724,-0.0057417,5.55339
0.092936,-0.0002646,-0.0057056,5.65082
0.093882,-0.0010948,-0.0054638,5.74824
0.093405,0.00039143,-0.0063718,5.84567
0.093913,0.00013484,-0.0044756,5.9431
0.094586,-0.00043558,-0.0076618,6.04053
0.094356,-1.6272e-05,-0.004682,6.13796
0.094715,-0.0010715,-0.0077244,6.23538
0.093715,0.00025172,-0.0036092,6.33281
0.09438,-0.0003294,-0.0072478,6.43024
0.09437,-6.3982e-05,-0.0042082,6.52767
0.095576,-0.00049329,-0.0086531,6.62509
0.095172,-0.00029037,-0.0037571,6.72252
0.095635,-0.00010088,-0.0086842,6.81995
0.095247,0.00038105,-0.0033833,6.91738
0.096847,-0.0007175,-0.0090319,7.01481
0.0975,-0.00058456,-0.0039404,7.11223
0.097863,-0.00026698,-0.0081816,7.20966
0.098776,5.0697e-05,-0.003891,7.30709
0.099828,4.5087e-05,-0.0080138,7.40452
0.10126,-0.00021922,-0.004913,7.50195
0.10275,-0.00067579,-0.0088962,7.59937
0.10267,0.00039421,-0.0043742,7.6968
0.10463,-0.00057252,-0.0075403,7.79423
0.10546,8.7107e-05,-0.0051844,7.89166
0.10758,-0.00057988,-0.0066999,7.98908
0.11009,-0.00088565,-0.0069699,8.08651
0.11046,0.00048132,-0.004719,8.18394
0.113,-0.00011444,-0.0078087,8.28137
0.1143,0.00030211,-0.0049316,8.3788
0.11692,-0.00076346,-0.0082892,8.47622
0.11892,-0.00070858,-0.0050704,8.57365
0.12015,-8.1014e-05,-0.0075435,8.67108
0.12274,-0.00017432,-0.0042223,8.76851
0.12553,-0.00024056,-0.0079631,8.86594
0.12844,-0.00043364,-0.0045865,8.96336
0.13093,4.9153e-05,-0.0083787,9.06079
0.13304,-0.00023923,-0.0043872,9.15822
0.13542,0.00028423,-0.0079592,9.25565
0.13839,-0.00042615,-0.0052615,9.35307
0.14196,-0.0010881,-0.0081507,9.4505
0.14421,-7.5702e-05,-0.0049739,9.54793
0.14696,-0.00056981,-0.0065643,9.64536
0.14963,0.00057089,-0.0054665,9.74279
0.15274,-7.7893e-05,-0.0059908,9.84021
0.15583,-0.0010556,-0.007919,9.93764
