time,plastic-work
0,0.00000e+00
0.148704,1.12290e+06
0.298117,8.61046e+06
0.447529,1.67935e+07
0.596942,2.18537e+07
0.746354,2.55582e+07
0.895767,3.28155e+07
1.04518,4.01026e+07
1.19459,4.55835e+07
1.344,5.13128e+07
1.49342,5.97647e+07
1.64283,6.79543e+07
1.79224,7.50977e+07
1.94165,8.22216e+07
2.09107,9.13036e+07
2.24048,1.00892e+08
2.38989,1.08343e+08
2.5393,1.16217e+08
2.68872,1.26232e+08
2.83813,1.35431e+08
2.98754,1.42537e+08
3.13695,1.51106e+08
3.28637,1.60816e+08
3.43578,1.68649e+08
3.58519,1.75570e+08
3.7346,1.84190e+08
3.88402,1.92267e+08
4.03343,1.98732e+08
4.18284,2.05796e+08
4.33225,2.13430e+08
4.48167,2.19713e+08
4.63108,2.25435e+08
4.78049,2.31673e+08
4.92991,2.37723e+08
5.07932,2.42730e+08
5.22873,2.47681e+08
5.37814,2.52766e+08
5.52756,2.57255e+08
5.67697,2.61127e+08
5.82638,2.65125e+08
5.97579,2.68832e+08
6.12521,2.72001e+08
6.27462,2.74987e+08
6.42403,2.77840e+08
6.57344,2.80334e+08
6.72286,2.82534e+08
6.87227,2.84661e+08
7.02168,2.86443e+08
7.17109,2.87984e+08
7.32051,2.89366e+08
7.46992,2.90527e+08
7.61933,2.91334e+08
7.76874,2.92032e+08
7.91816,2.92662e+08
8.06757,2.93100e+08
8.21698,2.93420e+08
8.36639,2.93720e+08
8.51581,2.93960e+08
8.66522,2.94114e+08
8.81463,2.94258e+08
8.96404,2.94407e+08
9.11346,2.94542e+08
9.26287,2.94678e+08
9.41228,2.94809e+08
9.56169,2.94943e+08
9.71111,2.95076e+08
9.86052,2.95208e+08
10.0099,2.95339e+08
10.1593,2.95469e+08
10.3088,2.95608e+08
10.4582,2.95739e+08
10.6076,2.95868e+08
10.757,2.96001e+08
10.9064,2.96137e+08
11.0558,2.96268e+08
11.2052,2.96396e+08
11.3546,2.96526e+08
11.5041,2.96656e+08
11.6535,2.96786e+08
11.8029,2.96915e+08
11.9523,2.97044e+08
12.1017,2.97173e+08
12.2511,2.97303e+08
12.4005,2.97431e+08
12.5499,2.97560e+08
12.6994,2.97689e+08
12.8488,2.97819e+08
12.9982,2.97947e+08
13.1476,2.98076e+08
13.297,2.98205e+08
13.4464,2.98334e+08
13.5958,2.98464e+08
13.7452,2.98591e+08
13.8947,2.98720e+08
14.0441,2.98849e+08
14.1935,2.98977e+08
14.3429,2.99106e+08
14.4923,2.99233e+08
14.6417,2.99362e+08
14.7911,2.99490e+08
14.9405,2.99618e+08
