Displacement_0,Displacement_1,Displacement_2,Point Coordinates_0,Point Coordinates_1,Point Coordinates_2,Time
0,0,0,11.75,6.75,2.25,0
0.023748,-0.00012522,-0.00096795,11.774,6.7499,2.249,0.0795095
0.08962,-2.3701e-05,-0.0022501,11.84,6.75,2.2477,0.159019
0.20234,-0.00011203,-0.0030074,11.952,6.7499,2.247,0.238529
0.35868,-0.00010175,-0.0044461,12.109,6.7499,2.2456,0.318038
0.55938,-5.538e-05,-0.0051949,12.309,6.7499,2.2448,0.397548
0.80596,-0.00013086,-0.0065793,12.556,6.7499,2.2434,0.477057
1.0949,-3.2933e-06,-0.0075292,12.845,6.75,2.2425,0.556567
1.4317,-0.0001287,-0.0086234,13.182,6.7499,2.2414,0.636076
1.8104,-1.7509e-05,-0.0098905,13.56,6.75,2.2401,0.715586
2.236,-0.00013331,-0.010732,13.986,6.7499,2.2393,0.795095
2.7048,-6.6173e-05,-0.01226,14.455,6.7499,2.2377,0.874605
3.2189,-6.4179e-05,-0.012986,14.969,6.7499,2.237,0.954114
3.7781,-9.8201e-05,-0.014543,15.528,6.7499,2.2355,1.03362
4.3802,-7.8859e-06,-0.015423,16.13,6.75,2.2346,1.11313
5.0297,-0.00013676,-0.016733,16.78,6.7499,2.2333,1.19264
5.7209,9.7427e-07,-0.017996,17.471,6.75,2.232,1.27215
6.4598,-0.00012479,-0.018935,18.21,6.7499,2.2311,1.35166
7.2411,-5.2936e-05,-0.020531,18.991,6.7499,2.2295,1.43117
8.0683,-7.531e-05,-0.021261,19.818,6.7499,2.2287,1.51068
8.9403,-0.00012313,-0.022916,20.69,6.7499,2.2271,1.59019
9.8556,-6.1772e-06,-0.023814,21.606,6.75,2.2262,1.6697
10.818,-0.0001288,-0.025168,22.568,6.7499,2.2248,1.74921
11.822,4.6616e-06,-0.026439,23.572,6.75,2.2236,1.82872
12.873,-0.0001228,-0.027404,24.623,6.7499,2.2226,1.90823
13.968,-2.2816e-05,-0.029078,25.718,6.75,2.2209,1.98774
